Activity ID,Activity Name,Original Duration,Remaining Duration,Planned Start,Planned Finish,Actual Start,Actual Finish,Early Start,Early Finish,Late Start,Late Finish,Total Float,Free Float,% Complete,Activity Status,Primary Constraint,Calendar
GF1370,Paving - Phase 2 Sub,12,12,17-Aug-2026,01-Sep-2026,,,17-Aug-2026,01-Sep-2026,17-Aug-2026,01-Sep-2026,0,0,0,Not Started,,Standard 5-Day
GF1380,Striping & Signage - Sub,5,5,02-Sep-2026,08-Sep-2026,,,02-Sep-2026,08-Sep-2026,08-Sep-2026,12-Sep-2026,5,5,0,Not Started,,Standard 5-Day
GF1390,Fencing & Gates - Sub,10,10,02-Sep-2026,15-Sep-2026,,,02-Sep-2026,15-Sep-2026,08-Sep-2026,19-Sep-2026,5,5,0,Not Started,,Standard 5-Day
GF1400,EV Charging Stations - Sub,8,8,06-Jul-2026,15-Jul-2026,,,06-Jul-2026,15-Jul-2026,03-Aug-2026,12-Aug-2026,20,20,0,Not Started,,Standard 5-Day
GF1410,Loading Dock Aprons - SP,12,12,01-Jun-2026,16-Jun-2026,,,01-Jun-2026,16-Jun-2026,15-Jun-2026,30-Jun-2026,10,10,0,Not Started,,Standard 5-Day
GF1420,Landscaping & Irrigation - Sub,12,12,16-Sep-2026,01-Oct-2026,,,16-Sep-2026,01-Oct-2026,22-Sep-2026,07-Oct-2026,5,5,0,Not Started,,Standard 5-Day
GF1430,Fire Alarm & Security - Sub,12,12,20-Aug-2026,04-Sep-2026,,,20-Aug-2026,04-Sep-2026,03-Sep-2026,18-Sep-2026,10,10,0,Not Started,,Standard 5-Day
GF1440,BAS & Controls - Sub,15,15,07-Sep-2026,25-Sep-2026,,,07-Sep-2026,25-Sep-2026,15-Sep-2026,03-Oct-2026,6,6,0,Not Started,,Standard 5-Day
GF1450,Punchlist & QC Walkthrough,15,15,02-Oct-2026,22-Oct-2026,,,02-Oct-2026,22-Oct-2026,08-Oct-2026,28-Oct-2026,0,0,0,Not Started,,Standard 5-Day
GF1460,Commissioning,12,12,23-Oct-2026,09-Nov-2026,,,23-Oct-2026,09-Nov-2026,29-Oct-2026,13-Nov-2026,0,0,0,Not Started,,Standard 5-Day
GF1470,Final Inspections & CO,8,8,10-Nov-2026,19-Nov-2026,,,10-Nov-2026,19-Nov-2026,16-Nov-2026,25-Nov-2026,0,0,0,Not Started,,Standard 5-Day
GF1480,Owner Acceptance & Turnover,5,5,20-Nov-2026,26-Nov-2026,,,20-Nov-2026,26-Nov-2026,26-Nov-2026,02-Dec-2026,0,0,0,Not Started,,Standard 5-Day
GF1490,Substantial Completion,0,0,26-Nov-2026,26-Nov-2026,,,26-Nov-2026,26-Nov-2026,02-Dec-2026,02-Dec-2026,0,0,0,Not Started,Must Finish On,Standard 5-Day
